"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\projects\level 2\room-reserve-server\dist\server.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\projects\level 2\room-reserve-server\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 1, 37
"c:\projects\level 2\room-reserve-server\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 1, 52
"c:\projects\level 2\room-reserve-server\public\confirmation.html", "HTML", 0, 0, 0, 0, 0, 67, 0, 1, 68
"c:\projects\level 2\room-reserve-server\src\app.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 1, 7, 36
"c:\projects\level 2\room-reserve-server\src\app\builder\QueryBuilder.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 19, 100
"c:\projects\level 2\room-reserve-server\src\app\config\index.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\projects\level 2\room-reserve-server\src\app\error\AppError.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\projects\level 2\room-reserve-server\src\app\error\handleCastError.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\projects\level 2\room-reserve-server\src\app\error\handleDuplicateError.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 1, 6, 29
"c:\projects\level 2\room-reserve-server\src\app\error\handleValidationError.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\projects\level 2\room-reserve-server\src\app\error\handleZodError.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\projects\level 2\room-reserve-server\src\app\interface\error.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\projects\level 2\room-reserve-server\src\app\interface\index.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\projects\level 2\room-reserve-server\src\app\middlewares\auth.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 5, 10, 60
"c:\projects\level 2\room-reserve-server\src\app\middlewares\globalErrorHandler.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 3, 6, 72
"c:\projects\level 2\room-reserve-server\src\app\middlewares\notFound.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\projects\level 2\room-reserve-server\src\app\middlewares\validateRequest.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 1, 2, 15
"c:\projects\level 2\room-reserve-server\src\app\modules\Auth\Auth.controller.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 12, 83
"c:\projects\level 2\room-reserve-server\src\app\modules\Auth\Auth.interface.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 7, 11
"c:\projects\level 2\room-reserve-server\src\app\modules\Auth\Auth.route.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\projects\level 2\room-reserve-server\src\app\modules\Auth\Auth.service.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 2, 19, 113
"c:\projects\level 2\room-reserve-server\src\app\modules\Auth\Auth.utils.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\projects\level 2\room-reserve-server\src\app\modules\Auth\Auth.validation.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\projects\level 2\room-reserve-server\src\app\modules\Booking\Booking.constant.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\projects\level 2\room-reserve-server\src\app\modules\Booking\Booking.controller.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 16, 131
"c:\projects\level 2\room-reserve-server\src\app\modules\Booking\Booking.interface.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 1, 3, 25
"c:\projects\level 2\room-reserve-server\src\app\modules\Booking\Booking.model.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 6, 33
"c:\projects\level 2\room-reserve-server\src\app\modules\Booking\Booking.route.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\projects\level 2\room-reserve-server\src\app\modules\Booking\Booking.service.ts", "TypeScript", 0, 332, 0, 0, 0, 0, 23, 76, 431
"c:\projects\level 2\room-reserve-server\src\app\modules\Booking\Booking.validation.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 3, 49
"c:\projects\level 2\room-reserve-server\src\app\modules\MyBooking\MyBooking.controller.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\projects\level 2\room-reserve-server\src\app\modules\MyBooking\MyBooking.route.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\projects\level 2\room-reserve-server\src\app\modules\MyBooking\MyBooking.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 1, 7, 35
"c:\projects\level 2\room-reserve-server\src\app\modules\Payment\Payment.controller.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 9, 56
"c:\projects\level 2\room-reserve-server\src\app\modules\Payment\Payment.route.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 1, 4, 16
"c:\projects\level 2\room-reserve-server\src\app\modules\Payment\Payment.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 3, 8, 38
"c:\projects\level 2\room-reserve-server\src\app\modules\Payment\Payment.utils.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\projects\level 2\room-reserve-server\src\app\modules\Room\Room.controller.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 14, 74
"c:\projects\level 2\room-reserve-server\src\app\modules\Room\Room.interface.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 1, 3, 20
